SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,PTS_DIFF,FG_PCT_DIFF,FT_PCT_DIFF,FG3_PCT_DIFF,AST_DIFF,REB_DIFF
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
2003,103.0,0.46,0.765,0.357,23.0,43.0,100.0,0.449,0.765,0.35,21.0,42.0,0,4.0,0.011,0.0,0.007,1.0,1.0
